"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"pros",1.05289433662308e-32,1.23944881958245,0.969,0.953,1.46668181091595e-29
"Dbx",1.63947904933846e-32,1.80299428821208,0.717,0.554,2.28379431572847e-29
"Optix",1.43250041898624e-14,1.50674605324394,0.794,0.669,1.99547308364783e-11
"Lim1",7.27101228502069e-11,0.905165308747551,0.794,0.719,1.01285201130338e-07
"Vsx1",4.04279151547466e-05,0.349474566710657,0.717,0.627,0.056316085810562
"Vsx2",0.000688756272201828,0.6511309764868,0.628,0.58,0.959437487177146
"Antp",0.00707283196450137,0.349047478064478,0.291,0.36,1
"Rx",0.0516789818421773,0.791381457068905,0.561,0.576,1
"hth",0.425467992110053,0.395679802920265,0.731,0.868,1
"pdm3",0.436159106633707,0.417069667849732,0.695,0.764,1
