"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"scro",7.47937382826254e-116,2.70601801765975,0.99,0.586,1.04187677427697e-112
"ap",1.85627662611536e-102,1.78629583257792,0.976,0.606,2.5857933401787e-99
"NK7.1",1.46640792063714e-49,0.974398290923539,0.99,0.752,2.04270623344754e-46
"Optix",4.15921184516615e-41,0.626608529457295,0.928,0.667,5.79378210031644e-38
"ct",1.02112569188905e-40,0.752787223344544,0.99,0.734,1.42242808880145e-37
"Vsx1",5.5021172282896e-29,0.576498545263026,0.799,0.626,7.66444929900742e-26
