"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"scro",4.08688263922568e-20,3.38173653261822,0.842,0.588,5.69302751644137e-17
"hbn",3.12157066024613e-13,1.78491084517407,0.719,0.583,4.34834792972286e-10
"Awh",2.23078045711218e-11,2.19207294128991,0.719,0.605,3.10747717675727e-08
"zfh2",4.18180974412817e-07,1.79114304508087,0.772,0.697,0.000582526097357054
"zfh1",0.0168465987741433,0.376947485157785,0.193,0.487,1
"oc",0.0613023914055026,0.512155578945879,0.281,0.478,1
"pb",0.0695182364406009,0.738599039338917,0.228,0.45,1
"Dfd",0.119342447513092,0.473428248222687,0.316,0.469,1
"inv",0.210378322223354,0.893127226922097,0.351,0.391,1
