"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"zfh1",1.31880634131602e-18,1.95987165647518,0.917,0.486,1.83709723345322e-15
"vvl",6.59440480883178e-14,0.746089687946593,0.917,0.592,9.18600589870267e-11
"CG32532",7.14226798861742e-13,1.02269574151753,0.958,0.604,9.94917930814407e-10
"NK7.1",7.62643271512662e-07,0.642543225711246,0.958,0.754,0.00106236207721714
"ct",1.33888617734133e-06,1.21036463977853,0.875,0.736,0.00186506844503647
"zfh2",0.000102125856229795,0.332463618108661,0.979,0.697,0.142261317728104
