"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"B-H2",2.30043665212204e-42,0.958890197482654,0.847,0.555,3.204508256406e-39
"ct",5.30040878591663e-30,1.22227503308022,0.975,0.735,7.38346943878186e-27
"toy",4.7556984729281e-27,1.37410510953186,0.907,0.707,6.62468797278884e-24
"Lim1",1.25245159818792e-17,0.69153668256632,0.932,0.719,1.74466507627578e-14
"Optix",7.01652618775548e-16,0.987549292530105,0.864,0.669,9.77402097954338e-13
"CG32532",9.57415951821312e-14,0.552545925135381,0.839,0.603,1.33368042088709e-10
"Drgx",0.00111261528288822,0.663555702793127,0.644,0.565,1
"B-H1",0.156226344388398,0.619401713917356,0.508,0.543,1
