"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ey",9.0528045480348e-19,0.944165592338019,0.863,0.555,1.26105567354125e-15
"unc-4",4.7552094128615e-13,0.747646971348049,0.688,0.42,6.62400671211607e-10
"Lim1",5.69968662827334e-10,0.810443359482153,0.938,0.719,7.93966347318477e-07
"hth",1.10816330100229e-09,0.613709473986058,0.975,0.867,1.5436714782962e-06
"zfh2",5.74664334196784e-09,0.83324937892371,0.85,0.697,8.0050741753612e-06
"Vsx1",3.74546200083172e-07,0.424105777893574,0.762,0.627,0.000521742856715859
"Optix",3.67980351403378e-05,0.360406227313709,0.8,0.669,0.0512596629504905
"otp",3.81692075886065e-05,0.497035884745793,0.575,0.433,0.0531697061709288
"oc",0.0462693560050778,0.57350331239222,0.562,0.478,1
"Ptx1",0.0470498311960857,0.497915609420802,0.5,0.417,1
"Hmx",0.135142677432485,0.343337399937923,0.438,0.364,1
"Scr",0.188820144535341,0.274934645124221,0.438,0.369,1
"zfh1",0.723408827694977,0.259414354343525,0.475,0.487,1
"Dfd",0.805688386502755,0.281148012273696,0.438,0.469,1
