"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"pros",7.35051187660309e-56,1.09946020262062,1,0.953,1.02392630441081e-52
"zfh1",1.60301356492597e-36,1.94459220534342,0.742,0.484,2.23299789594187e-33
"pdm3",1.19372558485558e-33,1.00414983974997,0.934,0.762,1.66285973970382e-30
"hth",3.98920752556783e-33,1.14856497978146,0.899,0.867,5.55696608311599e-30
"CG32532",1.16314166145441e-11,1.01551669463818,0.697,0.603,1.620256334406e-08
"vvl",1.3015208160458e-11,0.98847743588902,0.652,0.592,1.8130184967518e-08
