"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ap",2.43979469904685e-87,2.4861793390779,0.906,0.606,3.39863401577226e-84
"zfh2",3.79861041608704e-78,2.3315562011254,0.951,0.695,5.29146430960925e-75
"Vsx2",2.56534009093843e-75,2.73433831688059,0.888,0.578,3.57351874667723e-72
"Vsx1",3.17030248098749e-72,2.30644036370552,0.892,0.625,4.41623135601557e-69
"zfh1",5.96231604945098e-15,0.452142104062564,0.677,0.485,8.30550625688521e-12
"NK7.1",1.53478941118535e-09,0.62590116339305,0.852,0.754,2.1379616497812e-06
"pros",0.000422363099648473,0.469153909367955,0.964,0.953,0.588351797810322
