"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"hbn",2.22889231325558e-28,0.41196995686325,0.73,0.581,3.10484699236502e-25
"ap",1.05874526820279e-25,0.441680477150135,0.765,0.607,1.47483215860649e-22
"Lmx1a",4.53490358089267e-21,0.486817326643583,0.662,0.519,6.31712068818349e-18
"zfh2",5.39538039999189e-12,0.499480941568667,0.82,0.696,7.5157648971887e-09
"CG4328",1.76129839216119e-10,0.378755902063008,0.614,0.541,2.45348866028054e-07
"oc",2.13941193806576e-10,1.26399554065061,0.582,0.477,2.9802008297256e-07
"acj6",0.000865156180006417,1.45725461265688,0.537,0.51,1
"toy",0.0164886516142137,0.435643557562984,0.717,0.708,1
"pdm2",0.389062018217461,0.300232628575587,0.486,0.448,1
"Lim3",0.521553493922449,0.559512540336185,0.489,0.497,1
