"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Dll",5.95445507133716e-64,1.26499246132288,0.921,0.578,8.29455591437267e-61
"Vsx1",4.1981723594186e-36,1.20565559526705,0.907,0.626,5.8480540966701e-33
"Optix",4.83425670336894e-22,0.784372436287222,0.874,0.668,6.73411958779293e-19
"Awh",6.53501360506693e-18,1.04479465973752,0.748,0.604,9.10327395185823e-15
"NK7.1",9.79800853754368e-11,0.309570551617523,0.907,0.753,1.36486258927984e-07
"zfh1",1.78699059300403e-10,1.09802463134887,0.656,0.485,2.48927789605462e-07
"Vsx2",2.57453967192737e-09,0.776979996102887,0.682,0.58,3.58633376299483e-06
