"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ap",1.13882247108589e-18,1.47785324020975,0.975,0.608,1.58637970222264e-15
"zfh1",1.07775677734728e-17,1.95544552356135,0.95,0.486,1.50131519084476e-14
"hth",8.68515250742398e-17,1.49466629955736,1,0.867,1.20984174428416e-13
"zfh2",7.92965820863227e-15,1.4147961511701,1,0.697,1.10460138846248e-11
"pdm3",5.07655841901344e-12,1.20298769746565,1,0.763,7.07164587768572e-09
"Vsx1",9.8215299689879e-09,0.420141511630988,0.875,0.627,1.36813912468001e-05
"Vsx2",5.563683661267e-08,0.769283718761466,0.85,0.58,7.75021134014493e-05
