"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"toy",2.02996006544216e-65,0.343107829723634,0.867,0.705,2.82773437116092e-62
"zfh2",1.67953071690531e-50,0.350932235732547,0.896,0.693,2.3395862886491e-47
"oc",9.20569274319179e-39,1.05084014152325,0.617,0.475,1.28235299912662e-35
"acj6",1.33403299044452e-33,1.27787956061538,0.621,0.508,1.85830795568921e-30
"mirr",2.0384458962204e-30,0.346319773240298,0.597,0.496,2.83955513343501e-27
"slou",1.94026980195753e-29,0.413790106171885,0.559,0.449,2.70279583412685e-26
"Lim3",5.09473157625489e-22,0.550817404995074,0.587,0.495,7.09696108572306e-19
"Ptx1",8.24763202250711e-07,0.405354029601431,0.464,0.417,0.00114889514073524
"Drgx",0.674117064732329,0.272177202473685,0.506,0.567,1
