"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Vsx2",3.9372125802158e-56,1.97978339243601,0.844,0.578,5.48453712424062e-53
"Awh",4.46187113497385e-53,1.4036883612217,0.853,0.603,6.21538649101858e-50
"Optix",6.80406746793391e-49,1.24573722079322,0.916,0.667,9.47806598283194e-46
"vvl",3.67788542325288e-39,1.00101520925239,0.84,0.59,5.12329439459127e-36
"Vsx1",6.47926185874537e-28,1.27158933644396,0.773,0.626,9.0256117692323e-25
"Rx",4.07490692009331e-08,0.465259850125314,0.684,0.575,5.67634533968998e-05
"ct",2.86133536679537e-07,0.300930859308309,0.858,0.735,0.000398584016594595
"pros",1.73915038835537e-05,0.377262668220792,0.982,0.953,0.0242263649097902
