"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"pdm3",1.16217767564383e-21,0.741266803106805,1,0.763,1.61891350217186e-18
"CG32532",1.84548414298511e-17,0.939941947805993,0.835,0.603,2.57075941117825e-14
"Awh",1.59125113985569e-16,1.48195604162519,0.753,0.604,2.21661283781898e-13
"NK7.1",6.26797881576698e-15,0.677703740307577,0.928,0.754,8.73129449036341e-12
"Lim3",3.53808624230775e-06,0.377132451392496,0.608,0.497,0.0049285541355347
"Drgx",0.000750943501560347,0.376899039671122,0.412,0.566,1
