"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"tup",5.81463849420472e-25,1.83783336593899,0.91,0.526,8.09979142242717e-22
"Optix",6.52308447169912e-21,1.41825345722456,0.97,0.669,9.08665666907687e-18
"Dll",6.63873638889174e-18,1.19836174478937,0.851,0.58,9.2477597897262e-15
"hbn",1.50621018475651e-15,0.304111075615658,0.776,0.583,2.09815078736582e-12
"ct",4.39858517256791e-13,1.19949608927121,0.925,0.735,6.1272291453871e-10
"NK7.1",7.15817458893334e-11,0.866523825752996,0.97,0.754,9.97133720238414e-08
