"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"scro",1.6761318309668e-37,2.50152804966597,0.959,0.588,2.33485164053675e-34
"Vsx1",1.43912208854102e-36,2.67578380678458,0.945,0.626,2.00469706933764e-33
"pdm3",1.58098409159911e-36,2.23043952179443,1,0.763,2.20231083959756e-33
"ap",9.30610293132377e-35,1.97809568219029,0.945,0.608,1.2963401383334e-31
"Vsx2",2.33679332677998e-21,1.64723596536349,0.863,0.58,3.25515310420451e-18
"ct",4.91878132612432e-13,0.842160903844245,0.918,0.735,6.85186238729118e-10
"Optix",5.21444266849856e-11,0.809273263108502,0.822,0.669,7.2637186372185e-08
