"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"B-H2",2.67330083606932e-09,0.2757021892971,0.58,0.556,3.72390806464456e-06
"Drgx",1.37992129101775e-08,0.660896698987207,0.649,0.565,1.92223035838773e-05
"dve",1.88488409427594e-05,0.477582718450712,0.595,0.5,0.0262564354332638
"repo",0.000565366121448359,0.551360512575362,0.519,0.429,0.787555007177564
"CG32532",0.0408890275217058,0.800017016508259,0.458,0.605,1
"ara",0.095129678042034,0.405903841427221,0.55,0.473,1
"zfh2",0.122868835878135,0.478823003411303,0.565,0.698,1
"ct",0.196420176803072,0.782221524548628,0.679,0.736,1
"CG18599",0.231813475305335,0.825513701438334,0.382,0.411,1
"pdm3",0.863695898824205,0.931105183249802,0.672,0.764,1
