"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Dll",7.01441860352657e-44,1.99725699390516,0.928,0.579,9.77108511471251e-41
"Vsx1",1.93640013641566e-28,1.48153044101302,0.907,0.626,2.69740539002701e-25
"Awh",2.86121077889564e-28,1.03761199552562,0.876,0.604,3.98566661500163e-25
"Vsx2",4.23177318722092e-21,1.3465166378511,0.835,0.58,5.89486004979874e-18
"pros",5.13234857051221e-20,0.80961373060951,1,0.953,7.14936155872351e-17
"Optix",1.69087286004457e-09,0.690920560693606,0.856,0.669,2.35538589404209e-06
"tup",7.03450880034444e-08,0.333316217767521,0.773,0.526,9.7990707588798e-05
"zfh1",0.551449042060718,0.533116568410482,0.495,0.486,1
"pdm3",0.667035158182651,0.552358826286668,0.732,0.764,1
