"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ap",7.23117919497725e-40,2.56997666799594,0.986,0.608,1.00730326186033e-36
"Vsx1",9.50266944234372e-38,2.5095729218299,0.972,0.626,1.32372185331848e-34
"scro",2.71975053468114e-37,2.68008143148498,0.972,0.588,3.78861249481083e-34
"pdm3",2.19265964628203e-35,2.17827563951217,1,0.763,3.05437488727087e-32
"Vsx2",2.32601892732928e-28,1.80097131311061,0.917,0.58,3.24014436576969e-25
"Optix",9.18577736786606e-20,0.98836016824073,0.944,0.669,1.27957878734374e-16
