"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Dbx",4.63790489779524e-69,2.04939690260348,0.856,0.553,6.46060152262876e-66
"otp",6.08712283287015e-65,1.13635732699168,0.809,0.43,8.47936210618812e-62
"Optix",6.7127450211475e-39,0.885318171204959,0.902,0.668,9.35085381445847e-36
"hth",1.4083899955372e-32,0.683806241704415,0.977,0.866,1.96188726378332e-29
"Vsx2",9.62753035973448e-20,0.432987652000301,0.73,0.579,1.34111497911101e-16
"Vsx1",1.1409545543219e-11,0.379380248921246,0.702,0.627,1.5893496941704e-08
