"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"tup",3.10074472561187e-45,1.90070611949874,0.895,0.525,4.31933740277734e-42
"pdm3",1.29824179221811e-44,1.45651040741125,1,0.762,1.80845081655983e-41
"pros",2.22195677777777e-31,0.890897734933326,1,0.953,3.09518579144443e-28
"CG32532",3.22211923529731e-30,1.05495345050668,0.895,0.603,4.48841209476916e-27
"bsh",4.1256468795146e-30,1.24202963853989,0.789,0.536,5.74702610316384e-27
"Lim3",5.46330372908317e-06,0.699261861827627,0.602,0.497,0.00761038209461285
