"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"pros",2.22047073996308e-21,0.935307347817632,0.989,0.953,3.09311574076857e-18
"Dr",4.40471859850179e-09,0.262765243740475,0.538,0.55,6.13577300771299e-06
"Ubx",1.45705783994299e-08,0.498372242810705,0.516,0.486,2.02968157104059e-05
"tup",2.98157878347709e-07,0.401447246768273,0.632,0.526,0.000415333924538358
"Vsx2",0.0029409158077543,0.362315724606832,0.56,0.581,1
"pdm3",0.0671436210754092,0.321148589267846,0.775,0.763,1
"bsh",0.277943622367092,0.351886436677656,0.407,0.538,1
