"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"pros",1.58702845991267e-73,0.943086998748752,0.992,0.952,2.21073064465836e-70
"Lim1",1.46402873942833e-12,0.354021633202461,0.806,0.718,2.03939203402367e-09
"otp",1.02380766450317e-11,0.366238965384777,0.364,0.435,1.42616407665292e-08
"pdm3",1.37827898445365e-08,0.282519736162716,0.861,0.761,1.91994262534394e-05
"oc",1.2316211603136e-06,0.340146881363358,0.561,0.476,0.00171564827631685
"acj6",0.000558973560660325,0.614144725380923,0.556,0.509,0.778650169999833
