"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ct",3.49151769724142e-13,2.19977177113986,0.968,0.736,4.8636841522573e-10
"Awh",3.44224133086732e-09,1.39110217820414,0.871,0.605,4.79504217389817e-06
"pb",0.000465893289194,0.29135228711873,0.226,0.45,0.648989351847242
"Dbx",0.0308949259914576,0.3955710964124,0.806,0.555,1
"zfh1",0.449397637858098,0.484446131424545,0.387,0.487,1
"bsh",0.568640923494964,0.256322828928868,0.452,0.537,1
