"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Lim3",5.04435714845e-92,2.36853220831167,0.863,0.493,7.02678950779084e-89
"Hmx",6.56146850484927e-47,1.25655415093807,0.678,0.361,9.14012562725504e-44
"Vsx1",1.84423054032236e-16,1.14731867229224,0.719,0.626,2.56901314266905e-13
"hth",4.83031264437832e-15,0.507178609452851,0.956,0.866,6.728625513619e-12
"zfh1",1.47548169668052e-12,0.350308380994219,0.63,0.485,2.05534600347596e-09
"Optix",6.34968959756872e-10,0.43296858977235,0.759,0.669,8.84511760941322e-07
"oc",0.00147211124214282,0.346053384958053,0.526,0.477,1
"Vsx2",0.206650517101028,0.389824685187775,0.541,0.581,1
