"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Scr",5.75237546428235e-14,0.607267777789611,0.119,0.37,8.01305902174532e-11
"Lmx1a",1.00592300133228e-09,1.4007090157782,0.746,0.52,1.40125074085586e-06
"otp",8.26087263226292e-08,0.308490685908332,0.169,0.435,0.000115073955767422
"lab",6.60489554286785e-06,0.302081710082762,0.534,0.345,0.00920061949121491
"hbn",5.33133591288313e-05,0.601678290533925,0.695,0.583,0.074265509266462
"oc",0.000804413939212626,0.747315463209603,0.551,0.478,1
"zfh2",0.00961772709151866,1.17993753108726,0.737,0.697,1
"mirr",0.0406659344960813,0.363248127531742,0.492,0.498,1
"hth",0.1607142693325,0.49578887093622,0.746,0.868,1
"CG34367",0.188100966630894,0.453476413323341,0.271,0.367,1
"Lim3",0.284354957871961,0.649818565328717,0.483,0.497,1
