"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Dbx",6.72634992294862e-15,1.69757774624544,0.889,0.555,9.36980544266743e-12
"otp",2.14667271381463e-14,2.00271365588727,0.861,0.433,2.99031509034378e-11
"Optix",3.46099316654767e-14,1.61721119332643,1,0.669,4.8211634810009e-11
"Vsx2",5.51347959796614e-10,1.06364317572482,0.861,0.58,7.68027707996683e-07
"hth",6.62281040786286e-10,0.954706670788993,1,0.867,9.22557489815297e-07
"Vsx1",2.8123316128814e-09,0.86589687371624,0.917,0.627,3.91757793674379e-06
"Lim3",0.991529803645185,0.26516119836988,0.472,0.497,1
