"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"zfh2",8.17938520704747e-19,1.07855265679883,0.918,0.696,1.13938835934171e-15
"mirr",3.3088347277834e-11,2.53564773405779,0.643,0.498,4.60920677580227e-08
"vvl",5.41886705508988e-07,1.55787194656701,0.663,0.592,0.000754848180774021
"ap",1.87558689433154e-06,0.266385180828744,0.684,0.608,0.00261269254380384
"slou",0.0087386158684364,0.303702266396793,0.51,0.452,1
"Antp",0.0159256691223945,0.300480074074797,0.449,0.359,1
"oc",0.152103617465577,0.282076889953245,0.378,0.478,1
"Dll",0.27766336982705,0.966490939431222,0.459,0.581,1
"scro",0.419675855943059,0.266332799318789,0.531,0.589,1
"Ubx",0.622674726797708,0.30851805798782,0.408,0.487,1
