"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"pros",7.355487415606e-45,1.3184282153867,0.989,0.953,1.02461939699392e-41
"Rx",3.82299659690539e-44,2.13067788225554,0.856,0.574,5.32543425948921e-41
"Optix",7.39689953640652e-27,1.33295881631974,0.882,0.668,1.03038810542143e-23
"Lim1",4.85716270371372e-26,1.24131498366442,0.909,0.718,6.76602764627321e-23
"CG32532",4.44577151628354e-16,0.843651129144423,0.813,0.603,6.19295972218297e-13
"acj6",5.22247856957795e-13,0.379354999322483,0.273,0.512,7.27491264742209e-10
"NK7.1",1.50186015772882e-09,0.84997285050117,0.866,0.754,2.09209119971624e-06
"Gsc",1.30251607358621e-06,0.25064651237966,0.497,0.334,0.00181440489050559
