"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Dbx",2.97340471449014e-53,1.68583681486498,0.795,0.553,4.14195276728477e-50
"hth",8.23487597477797e-53,1.44852773398619,0.967,0.866,1.14711822328657e-49
"Lim1",1.08404549181076e-41,1.56807607251856,0.916,0.718,1.51007537009239e-38
"ct",1.76661483022441e-18,0.811249355783076,0.912,0.734,2.4608944585026e-15
"pros",3.4095954845463e-13,0.641591752024736,0.972,0.953,4.74956650997299e-10
"pdm3",2.12079404449565e-06,0.611750818304583,0.893,0.762,0.00295426610398244
"otp",0.194112476124261,0.271175881124428,0.405,0.434,1
