"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Lim1",2.06528990663292e-42,1.33811599294286,0.893,0.718,2.87694883993966e-39
"NK7.1",1.46462610549404e-26,1.09410775689763,0.827,0.754,2.0402241649532e-23
"pros",1.91510048862053e-20,0.475327853604471,1,0.953,2.6677349806484e-17
"Optix",4.77611367100594e-12,1.00768904631333,0.702,0.669,6.65312634371127e-09
"Rx",8.08703599853833e-10,0.868628279712261,0.613,0.576,1.12652411459639e-06
"Ptx1",1.13797890992797e-09,0.251449149275673,0.191,0.42,1.58520462152966e-06
"CG32532",0.00856680767369172,0.458220602260506,0.569,0.605,1
