"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"dve",1.99588055295868e-32,3.8466756888523,0.98,0.499,2.78026161027144e-29
"tup",2.7250758372181e-22,1.68580002627298,0.941,0.526,3.79603064124481e-19
"Gsc",7.33906843085941e-18,0.266965700581536,0.725,0.335,1.02233223241872e-14
"CG32532",5.13723927835907e-13,1.00254799263076,0.922,0.604,7.15617431475418e-10
