"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"toy",3.45489652847479e-94,2.11331569547057,0.955,0.705,4.81267086416538e-91
"ct",4.5159809776099e-78,1.96210175138051,0.944,0.734,6.29076150181059e-75
"Lim1",2.27851260980417e-70,1.75501916929617,0.936,0.718,3.1739680654572e-67
"pdm3",6.82957854306661e-68,1.35366739475677,0.981,0.761,9.51360291049179e-65
"zfh2",2.70380274262451e-51,1.46372197753778,0.91,0.695,3.76639722047595e-48
"CG32532",0.00170191213738677,0.432467004350208,0.624,0.604,1
"acj6",0.687574471339542,0.296912496565228,0.538,0.51,1
