"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"hth",6.21836135762984e-16,1.45998903852759,0.983,0.867,8.66217737117836e-13
"ap",7.80129423770204e-15,2.30850326086132,0.797,0.608,1.08672028731189e-11
"zfh2",5.74819410623443e-05,0.73564503825778,0.797,0.697,0.0800723438998457
"mirr",0.000824333306048284,0.346471694934907,0.542,0.498,1
"Gsc",0.017630352119552,0.623101114974553,0.203,0.336,1
"inv",0.0236233230374438,0.356809355041147,0.237,0.392,1
"NK7.1",0.0601598018361362,0.404897599187836,0.814,0.754,1
"otp",0.193849131360442,0.56816117670166,0.305,0.434,1
"acj6",0.286722311917622,1.06951203702075,0.475,0.511,1
