"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rx",6.25067164528409e-27,0.844002950162234,0.836,0.574,8.70718560188074e-24
"vvl",4.24959969374765e-23,0.594737907798777,0.816,0.591,5.91969237339047e-20
"Lim1",9.22816247445128e-20,0.670128651711141,0.921,0.719,1.28548303269106e-16
"CG32532",3.19103462635227e-13,0.519509488838049,0.796,0.603,4.44511123450871e-10
"Optix",9.94062588359764e-12,0.608483546172524,0.796,0.669,1.38472918558515e-08
"pdm3",1.73699353640525e-10,0.388806212309189,0.941,0.763,2.41963199621252e-07
"ct",9.13931921676066e-09,0.465214755039958,0.882,0.735,1.27310716689476e-05
"pros",1.65232530613198e-05,0.258079361515053,0.98,0.953,0.0230168915144185
