"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"scro",2.37653734058192e-23,2.83097893383386,0.975,0.588,3.31051651543062e-20
"ap",6.08204568428126e-20,2.19211541963561,0.975,0.608,8.47228963820379e-17
"NK7.1",5.73653204327477e-13,1.4020236379443,1,0.754,7.99098913628176e-10
"Optix",1.1967946316202e-08,0.956852471691541,0.875,0.669,1.66713492184693e-05
"pdm3",3.36543824482463e-08,1.92280077930821,0.85,0.763,4.68805547504071e-05
"Vsx1",1.90169531337412e-06,0.693804378536958,0.875,0.627,0.00264906157153015
"ct",0.000107323634774254,0.585522495075199,0.875,0.736,0.149501823240536
