"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Lmx1a",3.91861766602973e-56,0.976778122296696,0.737,0.518,5.45863440877941e-53
"ey",4.36055400080852e-54,1.16608544356452,0.793,0.552,6.07425172312626e-51
"zfh1",1.52435220750767e-31,0.956137666450473,0.712,0.484,2.12342262505819e-28
"CG4328",4.2910392319601e-28,1.09116930063983,0.659,0.54,5.97741765012041e-25
"ct",2.00314622945414e-15,0.333631364270525,0.879,0.734,2.79038269762962e-12
"CG18599",1.33354871841507e-06,0.841931378163253,0.502,0.41,0.00185763336475219
