"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ara",1.11644356996746e-36,0.935439221293572,0.684,0.472,1.55520589296467e-33
"caup",1.35385650822782e-36,0.964538595821436,0.656,0.403,1.88592211596135e-33
"Scr",5.3844831561339e-31,0.515926640018507,0.621,0.367,7.50058503649452e-28
"mirr",1.75478336033352e-28,1.13744226638758,0.656,0.497,2.44441322094459e-25
"lab",2.40206595759e-21,0.472784930776745,0.555,0.343,3.34607787892286e-18
"hth",4.2950536416038e-18,0.305420584277064,0.988,0.866,5.9830097227541e-15
"Dr",1.0103373006466e-17,0.462193911701648,0.613,0.549,1.40739985980071e-14
"otp",9.1024562826902e-11,1.1612592788106,0.523,0.433,1.26797216017875e-07
"tup",2.11522182206262e-10,0.362196809358912,0.645,0.526,2.94650399813323e-07
"acj6",2.22092049584112e-08,1.03079439491342,0.574,0.51,3.09374225070669e-05
"oc",0.000629193089215453,0.46470299354356,0.512,0.478,0.876465973277126
"slou",0.00626187092799694,0.32700410378819,0.473,0.452,1
"Ptx1",0.679997924500561,0.286367656213236,0.41,0.418,1
"pb",0.937321175223287,0.628296891916859,0.422,0.45,1
