"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"vvl",7.95688007339016e-56,2.27692808850678,0.981,0.591,1.10839339422325e-52
"CG32532",5.09804353591339e-20,1.01076310949954,0.88,0.603,7.10157464552735e-17
"ct",8.3269274430334e-20,0.94946505926777,0.944,0.735,1.15994099281455e-16
"Lim1",3.95216801963796e-19,0.6880855150706,0.991,0.719,5.50537005135568e-16
"pdm3",0.611062849090521,0.666667577814589,0.722,0.764,1
