"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ey",2.92343750103987e-16,2.18351374040601,0.912,0.555,4.07234843894854e-13
"CG4328",2.00537463499798e-14,1.96740095110641,0.853,0.541,2.79348686655218e-11
"Dr",1.36941324739268e-12,0.27767670429919,0.824,0.549,1.907592653618e-09
"CG18599",9.44696748343418e-10,0.930247521752693,0.735,0.41,1.31596257044238e-06
"pdm3",1.25280854568181e-08,1.49261019002518,0.912,0.763,1.74516230413475e-05
"zfh1",1.93115687444443e-08,1.0167414328149,0.824,0.486,2.6901015261011e-05
"ct",8.49870003790084e-07,0.730596729636421,0.941,0.736,0.00118386891527959
"Lmx1a",4.41876035580225e-05,1.85835024014587,0.647,0.521,0.0615533317563254
