"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Dr",1.97528118652229e-13,1.24888762055062,0.75,0.549,2.75156669282554e-10
"Lim1",5.57353883926053e-13,1.40890935576403,0.938,0.719,7.76393960308992e-10
"pdm3",1.31322203261344e-05,0.483039940679597,0.938,0.763,0.0182931829143053
"ara",1.76862279777388e-05,1.36480596062878,0.625,0.473,0.0246369155729901
"NK7.1",0.000504918673762516,0.756655233887697,0.833,0.754,0.703351712551185
"caup",0.0019692495858201,1.06742338643443,0.542,0.405,1
"mirr",0.538477810021439,0.394649384322564,0.458,0.498,1
