"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"zfh2",1.92831551175116e-125,2.06583253773727,0.957,0.693,2.68614350786937e-122
"Dll",1.26167858746974e-78,1.96109285708037,0.776,0.578,1.75751827234534e-75
"Optix",9.2686415543354e-48,1.19706292472473,0.825,0.667,1.29112176851892e-44
"Awh",1.9569930986728e-30,0.771192015019668,0.712,0.603,2.72609138645122e-27
"vvl",1.03287032672434e-23,1.03494068678624,0.674,0.591,1.43878836512701e-20
"hbn",4.01473930936789e-06,0.583200888217225,0.555,0.584,0.00559253185794947
"toy",1.39564620572571e-05,0.639115904131426,0.687,0.708,0.0194413516457591
