"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"pdm3",9.03030223262837e-77,2.10829814206823,0.975,0.762,1.25792110100513e-73
"pros",1.17596666441726e-59,1.23022929239586,1,0.953,1.63812156353324e-56
"Lim1",1.43772394640121e-41,1.4717612274474,0.899,0.718,2.00274945733689e-38
"NK7.1",2.08346761965775e-27,1.44181138883383,0.864,0.754,2.90227039418324e-24
"Rx",4.27681228406274e-20,1.46213490089108,0.724,0.575,5.9575995116994e-17
"Optix",4.91964231195458e-11,0.760355657421063,0.754,0.669,6.85306174055272e-08
"CG32532",1.52785777855481e-10,1.1182116542144,0.673,0.604,2.12830588552686e-07
