"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"zfh2",4.91291321471906e-93,1.9729746627015,0.991,0.695,6.84368810810364e-90
"hth",7.77084277362589e-53,0.984475764529,0.995,0.866,1.08247839836609e-49
"ap",2.51969475390659e-52,1.3085384360094,0.853,0.607,3.50993479219188e-49
"Vsx1",2.90478273583262e-50,0.78646300584657,0.913,0.625,4.04636235101484e-47
"ct",3.00836241578559e-31,0.879044607546573,0.922,0.734,4.19064884518933e-28
"NK7.1",1.27407382746833e-21,0.496541137288652,0.959,0.753,1.77478484166338e-18
"zfh1",2.80693725794057e-08,0.662184931202415,0.606,0.485,3.91006360031122e-05
"Vsx2",0.12788714938967,0.340209665792779,0.578,0.581,1
