"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ey",1.308825079123e-85,2.45583975317328,0.971,0.553,1.82319333521834e-82
"Lmx1a",3.78162459938568e-79,2.38336059350801,0.918,0.518,5.26780306694425e-76
"pdm3",1.3917916966312e-59,1.66772041870247,0.994,0.762,1.93876583340725e-56
"CG4328",6.86047176373036e-55,1.78776734118644,0.847,0.539,9.55663716687639e-52
"CG18599",8.19055932176487e-38,0.737929933681869,0.759,0.409,1.14094491352185e-34
"ct",7.42676345211271e-18,0.602220732788122,0.888,0.735,1.0345481488793e-14
"pros",9.20925026828266e-12,0.344173340880896,1,0.953,1.28284856237177e-08
"zfh1",4.12390564270817e-08,0.680970809827599,0.647,0.485,5.74460056029248e-05
