"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Lim1",5.38171726567045e-32,0.800995278288213,0.94,0.718,7.49673215107894e-29
"ct",2.08399983425713e-30,0.931015007495084,0.927,0.734,2.90301176912018e-27
"Rx",5.44585551468204e-30,0.93741856270378,0.781,0.574,7.58607673195209e-27
"CG32532",2.40167327636801e-23,0.613913636615896,0.824,0.602,3.34553087398064e-20
"Optix",6.86501501640457e-14,0.301914394023622,0.82,0.668,9.56296591785156e-11
"toy",2.08599028311108e-06,0.406732405533462,0.755,0.708,0.00290578446437373
