"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Dll",8.6742809188199e-25,1.48573942467084,0.642,0.58,1.20832733199161e-21
"pros",2.7095664132698e-09,0.605598632501143,0.902,0.954,3.77442601368483e-06
"Optix",7.49970740566828e-09,0.862613331330292,0.717,0.669,1.04470924160959e-05
"Awh",6.68542721404037e-06,0.313740030736005,0.607,0.605,0.00931280010915823
"zfh2",0.0474255959819471,0.920193285940548,0.647,0.698,1
"hbn",0.867041388398238,0.410601265900074,0.497,0.584,1
"vvl",0.887398924695784,0.709767150885384,0.538,0.593,1
