"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Awh",8.09434806062293e-33,1.41856147460476,0.931,0.604,1.12754268484477e-29
"vvl",3.75803012525325e-29,1.11723588568369,0.931,0.591,5.23493596447778e-26
"bsh",3.65278753693801e-25,0.816363160397527,0.816,0.536,5.08833303895464e-22
"CG32532",3.93105691627658e-09,0.366040078043069,0.839,0.603,5.47596228437328e-06
"zfh2",2.87469667306702e-05,0.325518572719909,0.862,0.697,0.0400445246558236
"CG18599",0.436282765344899,0.277400128363282,0.402,0.411,1
