"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"1360{}1129",0.470414367105086,0.00943310765284533,0.375,0.125,1,"1360{}1129"
"1360{}6369",0.470480514377791,-0.0418295012655232,0.75,0.417,1,"1360{}6369"
"asRNA:CR45925",0.470666256994738,0.00925446678419917,0.417,0.125,1,"asRNA:CR45925"
"Trs20",0.47073719478278,-0.0695512900704336,0.958,0.667,1,"Trs20"
"bark",0.470739091512405,-0.0506035639437199,1,0.917,1,"bark"
"Fur2",0.470763730859681,0.096392750089068,1,1,1,"Fur2"
"CG3739",0.470960089413022,-0.0346786252704518,0.042,0.083,1,"CG3739"
"CG32811",0.470986699327681,0.00479095957419684,0.375,0.167,1,"CG32811"
"CarT",0.471055883202204,-0.069937371065202,1,0.708,1,"CarT"
"mRpL52",0.471181523771096,0.0873295974698651,1,0.583,1,"mRpL52"
"lncRNA:CR45043",0.471194499524897,-0.0405629331584123,0.833,0.375,1,"lncRNA:CR45043"
"l(3)04053",0.471226118877539,-0.00502666459965107,1,1,1,"l(3)04053"
"CG12716",0.471296043587009,0.0732602928545614,0.958,0.75,1,"CG12716"
"SCCRO3",0.471830605440071,0.120907555083101,1,1,1,"SCCRO3"
"Rpp20",0.472155627103972,0.0241924224541377,0.5,0.083,1,"Rpp20"
"mRpL12",0.472177046810628,-0.0515431140008511,1,0.833,1,"mRpL12"
"Pld3",0.472236458370142,-0.0307817384407185,1,0.833,1,"Pld3"
"CG14086",0.472274038209574,0.118232040350216,0.958,0.792,1,"CG14086"
"gypsy{}4151",0.472416834535949,0.0771538215981176,0.917,0.625,1,"gypsy{}4151"
"CG11983",0.472491720507867,0.0626879831493019,0.958,0.5,1,"CG11983"
"CG5793",0.472494361865642,-0.0362297586721505,0.875,0.625,1,"CG5793"
"CG42245",0.47251230584854,0.00701089789972187,1,1,1,"CG42245"
"Eogt",0.472564990355786,0.144008622250037,1,0.958,1,"Eogt"
"CG31213",0.472567284469134,-0.0842055915702762,0.917,0.583,1,"CG31213"
"CG6497",0.472576762157589,-0.0195486586015106,0.083,0.083,1,"CG6497"
"lncRNA:CR45006",0.472588203753888,0.0311198177783067,0.292,0.042,1,"lncRNA:CR45006"
"CG31805",0.47297634360684,0.069926312144184,0.708,0.292,1,"CG31805"
"Mul1",0.473082141250595,-0.0619289994873924,1,1,1,"Mul1"
"CG15082",0.473249733235761,0.122195670236998,1,0.833,1,"CG15082"
"CG13733",0.473249920477498,-0.0261984125971511,0.042,0.083,1,"CG13733"
"lncRNA:CR43494",0.473252762204125,-0.0464414939418099,0,0.083,1,"lncRNA:CR43494"
"CG12395",0.473293378475872,0.0112551280377877,0.25,0.042,1,"CG12395"
"del",0.473369947086638,0.0833120484494816,1,1,1,"del"
"CG13516",0.473377947784032,-0.0208460174441436,0.083,0.083,1,"CG13516"
"CG30047",0.473417017828982,-0.0201191894260919,0.083,0.083,1,"CG30047"
"SmydA-7",0.473575495127872,-0.0690087244965509,1,0.958,1,"SmydA-7"
"CG33465",0.473604699581093,-0.0290157305904488,0.042,0.083,1,"CG33465"
"CG8635",0.473752581417052,-0.0613910014157013,1,0.958,1,"CG8635"
"copia{}2248",0.473899016895156,0.0143337314970529,0.25,0.042,1,"copia{}2248"
"CG31388",0.474079259478783,0.133013413141871,1,0.958,1,"CG31388"
"roo{}1425",0.474132659661934,-0.0816303927618494,1,0.833,1,"roo{}1425"
"CG13862",0.474158671775253,-0.0321302327824728,0.042,0.083,1,"CG13862"
"Rpi",0.474233270967061,0.0559435616787543,0.875,0.417,1,"Rpi"
"Upf2",0.4743472022635,-0.0223834113062948,1,1,1,"Upf2"
"mRpS18C",0.47454820073371,0.0581573712321903,0.917,0.25,1,"mRpS18C"
"CG13023",0.47457553164215,-0.0202402661214434,0.083,0.083,1,"CG13023"
"Doc4{}3633",0.474699772752538,-0.00648167590582194,0.125,0.042,1,"Doc4{}3633"
"1360{}2542",0.474719065660991,0.0053422054008303,0.208,0.042,1,"1360{}2542"
"PGAP1",0.474743031601843,-0.0316393256530532,1,1,1,"PGAP1"
