"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"CG1371",0.68436224536734,0.0863703517753285,1,1,1,"CG1371"
"Achl",0.684530100149559,-0.0265620870765142,0.875,0.958,1,"Achl"
"lncRNA:CR43264",0.684534153970973,-0.00945119049283072,0.167,0.167,1,"lncRNA:CR43264"
"Mfap1",0.684581648535869,0.0958808090022893,1,1,1,"Mfap1"
"CG9646",0.684598609877111,0.0327102604327331,1,1,1,"CG9646"
"Cr1a{}3698",0.684627154410457,0.044629449377438,0.542,0.417,1,"Cr1a{}3698"
"lncRNA:CR45117",0.684718116442149,-0.0560423291626471,0.042,0.083,1,"lncRNA:CR45117"
"CG1690",0.685021291501943,-0.022247937480099,0.167,0.167,1,"CG1690"
"1360{}6336",0.685207332819003,-0.0067743153137716,0.25,0.208,1,"1360{}6336"
"Usf",0.685212312466838,0.0873720465795289,1,1,1,"Usf"
"CG18231",0.685263678875411,-0.0114883801363748,0.167,0.167,1,"CG18231"
"CG15347",0.685375534572888,-0.00801600676135195,0.167,0.167,1,"CG15347"
"eIF2Bgamma",0.685389993791946,-0.00116811117771176,1,1,1,"eIF2Bgamma"
"CG14153",0.685488964994812,-0.0116432657574999,0.25,0.208,1,"CG14153"
"GstE2",0.685641219569584,-0.0173716308901737,0.958,0.958,1,"GstE2"
"Atac1",0.685978809335173,-0.0351163969129216,0.833,0.792,1,"Atac1"
"ND-18",0.686009528487466,0.0852877076889076,0.917,0.917,1,"ND-18"
"mdg1{}2335",0.686271439420015,-0.0282142870262687,0.125,0.083,1,"mdg1{}2335"
"Flo1",0.686289734090786,0.113764562234274,1,1,1,"Flo1"
"CG3436",0.686307947779251,0.0286757663645427,1,1,1,"CG3436"
"CG43672",0.686398714193263,-0.0107096401206075,0.167,0.167,1,"CG43672"
"CG3594",0.686503843556916,0.0718659278049456,0.875,0.75,1,"CG3594"
"CG18281",0.686658083259567,0.0207418740384029,1,1,1,"CG18281"
"Psf3",0.686662952548153,-0.0163030429192448,0.917,0.667,1,"Psf3"
"SP1029",0.686890575429125,0.11246098423801,1,0.958,1,"SP1029"
"Mrp4",0.687074575505618,0.0115037545806262,1,1,1,"Mrp4"
"INE-1{}1748",0.687337035376422,0.0409901371590164,0.542,0.417,1,"INE-1{}1748"
"ND-B12",0.687476328915662,-0.0176846481528581,1,0.917,1,"ND-B12"
"LSm7",0.687558822782558,0.0492728621639751,0.792,0.583,1,"LSm7"
"Caf1-105",0.687580819796885,0.0811516004592376,1,0.917,1,"Caf1-105"
"Ir84a",0.68775836054195,-0.0558788996307262,0.042,0.083,1,"Ir84a"
"CG17169",0.687953434536396,-0.0257204954711847,0.625,0.708,1,"CG17169"
"lncRNA:CR44411",0.688051210985544,-0.00890730864306288,0.292,0.208,1,"lncRNA:CR44411"
"Aven",0.68805896177949,0.0747654955625743,0.875,0.667,1,"Aven"
"lncRNA:CR45457",0.688095913047556,-0.0193035664484782,0.208,0.125,1,"lncRNA:CR45457"
"CG33144",0.688100681873568,0.0826395303175111,1,1,1,"CG33144"
"ssp3",0.688103714575971,0.0891727340727754,1,1,1,"ssp3"
"CG14961",0.688200244612183,0.011301845111138,1,1,1,"CG14961"
"CG7789",0.688391185456164,0.0464268342590088,0.75,0.625,1,"CG7789"
"Cyp6t3",0.688415893855793,-0.0292697486575655,0.333,0.375,1,"Cyp6t3"
"CG13618",0.688463908528403,0.0725788472051256,0.25,0.167,1,"CG13618"
"CG13331",0.68850215685883,-0.0186694268438146,0.25,0.208,1,"CG13331"
"CG30432",0.688785652875415,-0.0621769411538136,0,0.125,1,"CG30432"
"lncRNA:CR44299",0.68884139083585,-0.0389929617055502,0.625,0.542,1,"lncRNA:CR44299"
"jigr1",0.689372149224531,0.0305122075712851,1,1,1,"jigr1"
"CG31441",0.689579559972916,0.0800443269791815,0.958,0.833,1,"CG31441"
"Dhit",0.689614994086612,0.084546335719063,1,1,1,"Dhit"
"Oct-TyrR",0.689713517859309,0.044343211843673,1,1,1,"Oct-TyrR"
"CG9806",0.68974999122737,-0.0614129727375623,0,0.125,1,"CG9806"
"mth",0.689802577401601,0.0660107012606996,0.792,0.5,1,"mth"
"CG31601",0.6898519042025,-0.0616393081827331,0,0.125,1,"CG31601"
"Exd2",0.690010206814573,0.105472756954458,1,0.875,1,"Exd2"
"CG3552",0.690034243638867,0.110050628353028,1,0.958,1,"CG3552"
"CG45676",0.690056539037373,-0.0122981189934057,0.5,0.333,1,"CG45676"
"lncRNA:CR44230",0.690195993235964,0.0361017361326041,0.458,0.25,1,"lncRNA:CR44230"
"eIF2Bdelta",0.690213441032525,0.0242087672153595,1,1,1,"eIF2Bdelta"
"CG10041",0.690482653917349,-0.0205490548693588,0.125,0.167,1,"CG10041"
"CG13144",0.690612407715437,-0.00884495123657558,0.167,0.167,1,"CG13144"
"Bx42",0.690838666991798,0.00614094244269481,1,1,1,"Bx42"
"Pcyt1",0.690912178271885,0.0399603732003072,1,1,1,"Pcyt1"
"Pex13",0.69101826974295,0.117349186723747,1,1,1,"Pex13"
"CG14086",0.691252476086638,-0.0508496155483193,0.875,0.875,1,"CG14086"
"Pyroxd1",0.691398534696713,0.0498750750242007,0.75,0.875,1,"Pyroxd1"
"CG7369",0.691433315341639,0.0920835072360475,1,1,1,"CG7369"
"CG5555",0.691570535913986,0.0991012025007065,1,0.958,1,"CG5555"
"Cse1",0.69179862831572,0.0823006596809148,1,1,1,"Cse1"
"CG6225",0.691920452844357,-0.0389956975199732,0.792,0.667,1,"CG6225"
"mRpL23",0.692067888743954,0.0779498888811228,0.875,0.667,1,"mRpL23"
"CG33932",0.692338634928886,-0.0110256274384137,1,0.917,1,"CG33932"
"lncRNA:CR45240",0.692372511728309,-0.016148069828839,0.292,0.167,1,"lncRNA:CR45240"
"CG32206",0.692393078280581,0.0556209886593599,1,1,1,"CG32206"
"CG32633",0.692493453090839,-0.0610021716414728,0,0.125,1,"CG32633"
"Top2",0.692536225093703,0.104288427648171,1,1,1,"Top2"
"Pex23",0.69273957489368,0.0150246209686535,1,1,1,"Pex23"
"Fum4",0.692887304885412,0.0584101019221661,0.75,0.417,1,"Fum4"
"Mtp",0.69291638452169,0.00562825045792925,1,1,1,"Mtp"
